"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_Acclima"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Acclima_VWC_5_Avg","Acclima_Perm_5_Avg","Acclima_EC_5_Avg","Acclima_Temp_5_Avg","Acclima_VWC_20_Avg","Acclima_Perm_20_Avg","Acclima_EC_20_Avg","Acclima_Temp_20_Avg","Acclima_VWC_40_Avg","Acclima_Perm_40_Avg","Acclima_EC_40_Avg","Acclima_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-14 22:00:00",35,"Site 2",39.10245,-96.59987,335,26.8,14.5,174,16.3,28.3,15.43,243,16.23,31.93,17.97,433,16.7
"2022-10-14 23:00:00",36,"Site 2",39.10245,-96.59987,335,26.8,14.5,171.3,15.63,28.47,15.53,243,16.3,31.93,17.97,433.7,16.7
"2022-10-15 00:00:00",37,"Site 2",39.10245,-96.59987,335,26.8,14.5,169,14.97,28.37,15.5,244,16.3,31.97,18,434,16.73
"2022-10-15 01:00:00",38,"Site 2",39.10245,-96.59987,335,26.8,14.5,166.7,14.37,28.53,15.57,243.3,16.2,32.03,18.07,434.3,16.77
"2022-10-15 02:00:00",39,"Site 2",39.10245,-96.59987,335,26.8,14.5,164.3,13.8,28.4,15.5,243,16.17,31.97,17.97,434.7,16.8
"2022-10-15 03:00:00",40,"Site 2",39.10245,-96.59987,335,26.8,14.5,162,13.17,28.5,15.6,242.3,16.07,31.9,18,435,16.8
"2022-10-15 04:00:00",41,"Site 2",39.10245,-96.59987,335,26.8,14.5,159.7,12.6,28.23,15.4,241.3,15.9,31.97,18.03,434.7,16.8
"2022-10-15 05:00:00",42,"Site 2",39.10245,-96.59987,335,26.8,14.5,157.3,12.07,28.47,15.57,240.3,15.83,31.97,18.07,435,16.8
"2022-10-15 06:00:00",43,"Site 2",39.10245,-96.59987,335,26.73,14.43,155.7,11.6,28.23,15.4,239.7,15.6,32,18.03,435,16.83
"2022-10-15 07:00:00",44,"Site 2",39.10245,-96.59987,335,26.7,14.4,153.7,11.17,28.3,15.47,238.7,15.43,31.9,17.97,434.3,16.8
"2022-10-15 08:00:00",45,"Site 2",39.10245,-96.59987,335,26.73,14.43,151.7,10.77,28.37,15.57,237,15.27,31.9,17.97,433.7,16.73
"2022-10-15 09:00:00",46,"Site 2",39.10245,-96.59987,335,26.67,14.4,150.3,10.43,28.1,15.4,236,15.07,31.9,18,433.7,16.73
"2022-10-15 10:00:00",47,"Site 2",39.10245,-96.59987,335,26.7,14.4,150,10.43,28.3,15.47,234.7,14.87,31.93,17.93,433,16.7
"2022-10-15 11:00:00",48,"Site 2",39.10245,-96.59987,335,26.77,14.47,152.3,11.33,28.3,15.47,233.7,14.7,31.9,18,432.3,16.63
"2022-10-15 12:00:00",49,"Site 2",39.10245,-96.59987,335,26.8,14.5,158,13,28.3,15.5,232,14.53,31.97,18.03,431.7,16.6
"2022-10-15 13:00:00",50,"Site 2",39.10245,-96.59987,335,26.8,14.5,165,14.8,28.23,15.4,232,14.5,31.93,18,431,16.57
"2022-10-15 14:00:00",51,"Site 2",39.10245,-96.59987,335,26.8,14.5,171,16.5,28.23,15.4,232,14.5,31.97,18.03,430.3,16.47
"2022-10-15 15:00:00",52,"Site 2",39.10245,-96.59987,335,26.7,14.43,176.3,18,28.27,15.43,232.7,14.7,31.87,17.97,430,16.43
"2022-10-15 16:00:00",53,"Site 2",39.10245,-96.59987,335,26.63,14.4,179.3,18.77,28.27,15.43,234.3,14.9,31.97,18,429.3,16.3
"2022-10-15 17:00:00",54,"Site 2",39.10245,-96.59987,335,26.6,14.4,180.3,19,28.23,15.43,236,15.2,31.83,17.9,429,16.3
"2022-10-15 18:00:00",55,"Site 2",39.10245,-96.59987,335,26.53,14.33,182,19.07,28.33,15.47,237.7,15.5,31.87,17.97,428.7,16.3
"2022-10-15 19:00:00",56,"Site 2",39.10245,-96.59987,335,26.47,14.3,180.7,18.77,28.23,15.47,239.3,15.73,31.93,17.97,428.7,16.3
"2022-10-15 20:00:00",57,"Site 2",39.10245,-96.59987,335,26.43,14.3,178,18.03,28.2,15.43,240.7,16,31.9,18,428.7,16.3
"2022-10-15 21:00:00",58,"Site 2",39.10245,-96.59987,335,26.43,14.3,175,17.2,28.3,15.4,242,16.17,31.83,17.9,429,16.37
"2022-10-15 22:00:00",59,"Site 2",39.10245,-96.59987,335,26.4,14.3,173,16.47,28.3,15.5,243,16.3,31.9,17.97,430,16.4
"2022-10-15 23:00:00",60,"Site 2",39.10245,-96.59987,335,26.4,14.3,170,15.8,28.3,15.43,243.3,16.3,31.87,17.97,430,16.4
"2022-10-16 00:00:00",61,"Site 2",39.10245,-96.59987,335,26.4,14.3,168,15.13,28.3,15.43,243,16.3,31.9,17.97,430,16.47
"2022-10-16 01:00:00",62,"Site 2",39.10245,-96.59987,335,26.4,14.3,165.3,14.5,28.3,15.47,243,16.27,31.97,18,431,16.5
"2022-10-16 02:00:00",63,"Site 2",39.10245,-96.59987,335,26.4,14.3,163.3,13.97,28.3,15.47,242.3,16.17,31.97,18,431,16.5
"2022-10-16 03:00:00",64,"Site 2",39.10245,-96.59987,335,26.4,14.3,161,13.47,28.3,15.5,242,16.03,32,18.03,431,16.53
"2022-10-16 04:00:00",65,"Site 2",39.10245,-96.59987,335,26.33,14.23,159.7,13,28.27,15.4,241.3,15.9,31.93,18,431,16.5
"2022-10-16 05:00:00",66,"Site 2",39.10245,-96.59987,335,26.33,14.23,157.7,12.57,28.23,15.43,240,15.77,32,18.07,431,16.57
"2022-10-16 06:00:00",67,"Site 2",39.10245,-96.59987,335,26.33,14.23,155.7,12.13,28.17,15.4,239.3,15.6,31.83,17.93,431,16.53
"2022-10-16 07:00:00",68,"Site 2",39.10245,-96.59987,335,26.3,14.2,154,11.7,28.23,15.4,238.3,15.43,31.93,17.97,431,16.5
"2022-10-16 08:00:00",69,"Site 2",39.10245,-96.59987,335,26.3,14.2,152.3,11.3,28.17,15.43,237,15.27,32,18.03,431,16.5
"2022-10-16 09:00:00",70,"Site 2",39.10245,-96.59987,335,26.3,14.2,150.7,10.97,28.23,15.43,235.7,15.13,31.93,18,430.7,16.5
"2022-10-16 10:00:00",71,"Site 2",39.10245,-96.59987,335,26.33,14.23,150.3,10.9,28.27,15.47,234.7,14.9,31.93,18.03,430,16.4
"2022-10-16 11:00:00",72,"Site 2",39.10245,-96.59987,335,26.4,14.3,152,11.5,28.27,15.4,233.7,14.73,32.03,18.07,430,16.4
"2022-10-16 12:00:00",73,"Site 2",39.10245,-96.59987,335,26.37,14.27,156,12.63,28.2,15.43,232.3,14.6,31.93,18,428.7,16.4
"2022-10-16 13:00:00",74,"Site 2",39.10245,-96.59987,335,26.43,14.3,160,14.07,28.3,15.47,232,14.5,31.93,18.03,428,16.33
"2022-10-16 14:00:00",75,"Site 2",39.10245,-96.59987,335,26.47,14.3,167.3,16.1,28.3,15.5,232,14.5,31.87,17.93,427.7,16.27
"2022-10-16 15:00:00",76,"Site 2",39.10245,-96.59987,335,26.47,14.33,173.7,17.93,28.23,15.43,232.3,14.6,31.9,17.93,427,16.17
"2022-10-16 16:00:00",77,"Site 2",39.10245,-96.59987,335,26.43,14.3,177.3,18.97,28.3,15.5,233.7,14.83,31.93,18,427,16.13
"2022-10-16 17:00:00",78,"Site 2",39.10245,-96.59987,335,26.4,14.3,180,19.53,28.3,15.47,235.3,15.1,31.9,17.93,426.3,16.1
"2022-10-16 18:00:00",79,"Site 2",39.10245,-96.59987,335,26.37,14.27,180.3,19.53,28.3,15.47,237.3,15.4,32,18.03,426.3,16.1
"2022-10-16 19:00:00",80,"Site 2",39.10245,-96.59987,335,26.27,14.17,179,18.87,28.3,15.5,239,15.7,31.93,18.03,426.7,16.1
"2022-10-16 20:00:00",81,"Site 2",39.10245,-96.59987,335,26.1,14.1,175.7,17.87,28.33,15.5,240.3,16,31.8,17.9,427,16.13
"2022-10-16 21:00:00",82,"Site 2",39.10245,-96.59987,335,26.1,14.1,172,16.8,28.3,15.5,241.7,16.17,31.9,18,427,16.1
"2022-10-16 22:00:00",83,"Site 2",39.10245,-96.59987,335,26.1,14.1,168.7,15.87,28.3,15.5,242,16.2,31.9,17.97,427,16.17
"2022-10-16 23:00:00",84,"Site 2",39.10245,-96.59987,335,26.1,14.1,165.3,15,28.3,15.47,242,16.27,31.77,17.9,427.3,16.23
"2022-10-17 00:00:00",85,"Site 2",39.10245,-96.59987,335,26.1,14.1,163,14.23,28.3,15.47,242,16.2,31.87,17.93,428,16.27
"2022-10-17 01:00:00",86,"Site 2",39.10245,-96.59987,335,26.1,14.1,160,13.5,28.27,15.47,241.7,16.07,31.83,17.93,428,16.3
