"TOA5","CR300Series_NRCS_B3","CR300","25039","CR300-CELL205.Std.10.07","CPU:nrcs_marena_B3.CR300","30482","Table_GroPoint"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","GroPoint_VWC_0_15_Avg","GroPoint_VWC_15_30_Avg","GroPoint_VWC_30_45_Avg","GroPoint_Temp_04_Avg","GroPoint_Temp_10_Avg","GroPoint_Temp_20_Avg","GroPoint_Temp_30_Avg","GroPoint_Temp_40_Avg","GroPoint_Temp_45_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","%","%","Deg c","Deg c","Deg c","Deg c","Deg c","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-12-12 08:00:00",43,"Marena B3",36.06222,-97.21667,329,34.5,35.5,37.2,19,19,20.5,20,18.5,19.5
"2022-12-12 09:00:00",44,"Marena B3",36.06222,-97.21667,329,34.5,35.5,37.2,19,19.17,20.17,20,18.5,19.5
"2022-12-12 10:00:00",45,"Marena B3",36.06222,-97.21667,329,34.43,35.43,37.1,19,19,20.5,20,18.5,19.5
"2022-12-12 11:00:00",46,"Marena B3",36.06222,-97.21667,329,34.4,35.43,37.43,19,19.5,20.17,20,18.5,19.5
"2022-12-12 12:00:00",47,"Marena B3",36.06222,-97.21667,329,34.37,35.37,37.33,19,19.5,19.83,20,18.5,19.5
"2022-12-12 13:00:00",48,"Marena B3",36.06222,-97.21667,329,34.3,35.3,37.17,19,19.5,20,20,18.5,19.5
"2022-12-12 14:00:00",49,"Marena B3",36.06222,-97.21667,329,34.27,35.27,37.07,19,19,20,20,18.5,19.5
"2022-12-12 15:00:00",50,"Marena B3",36.06222,-97.21667,329,34.2,35.23,37,19,19.17,20,20,18.5,19.5
"2022-12-12 16:00:00",51,"Marena B3",36.06222,-97.21667,329,34.2,35.2,37,19,19.33,20,20,18.5,19.5
"2022-12-12 17:00:00",52,"Marena B3",36.06222,-97.21667,329,34.2,35.2,36.9,19,19.5,20,20,18.5,19.5
"2022-12-12 18:00:00",53,"Marena B3",36.06222,-97.21667,329,34.13,35.2,36.9,19,19.33,20,20,18.5,19.5
"2022-12-12 19:00:00",54,"Marena B3",36.06222,-97.21667,329,34.2,35.2,36.9,19,19.5,20,20,18.5,19.5
"2022-12-12 20:00:00",55,"Marena B3",36.06222,-97.21667,329,34.2,35.2,36.9,19,19.5,20.17,20,18.5,19.5
"2022-12-12 21:00:00",56,"Marena B3",36.06222,-97.21667,329,34.17,35.2,36.9,19,19.5,20.5,20,18.5,19.5
"2022-12-12 22:00:00",57,"Marena B3",36.06222,-97.21667,329,34.17,35.2,36.9,19,19.5,20.5,20,18.5,19.5
"2022-12-12 23:00:00",58,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.9,19,19.5,20.17,20,18.5,19.5
"2022-12-13 00:00:00",59,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.83,19.5,19.5,20.33,20,18.5,19.5
"2022-12-13 01:00:00",60,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.5,20,20,18.5,19.5
"2022-12-13 02:00:00",61,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.5,20,20,18.5,19.5
"2022-12-13 03:00:00",62,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.5,20.17,20,18.5,19.5
"2022-12-13 04:00:00",63,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.33,20,20,18.5,19.5
"2022-12-13 05:00:00",64,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.5,20,20.33,18.5,19.5
"2022-12-13 06:00:00",65,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.33,20,20.5,18.5,19.5
"2022-12-13 07:00:00",66,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.5,20,20.5,18.67,19.5
"2022-12-13 08:00:00",67,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.83,20.17,20.5,18.83,19.67
"2022-12-13 09:00:00",68,"Marena B3",36.06222,-97.21667,329,34.1,35.2,36.8,19.5,19.83,20.67,20.5,19,19.83
"2022-12-13 10:00:00",69,"Marena B3",36.06222,-97.21667,329,34.1,35.17,36.8,19.5,20,20.17,20.5,19,19.83
"2022-12-13 11:00:00",70,"Marena B3",36.06222,-97.21667,329,34.03,35.07,36.7,19.5,19.5,20.17,20,18.67,19.5
"2022-12-13 12:00:00",71,"Marena B3",36.06222,-97.21667,329,33.97,35,36.6,19.33,19.33,20,20,18.5,19.5
"2022-12-13 13:00:00",72,"Marena B3",36.06222,-97.21667,329,33.9,34.93,36.6,19,19.5,20.17,20,18.5,19.5
"2022-12-13 14:00:00",73,"Marena B3",36.06222,-97.21667,329,33.83,34.9,36.57,19,19.5,20.17,20,18.5,19.5
"2022-12-13 15:00:00",74,"Marena B3",36.06222,-97.21667,329,33.8,34.87,36.5,19,19,19.67,20,18.5,19.5
"2022-12-13 16:00:00",75,"Marena B3",36.06222,-97.21667,329,33.7,34.8,36.5,19,19,19.5,20,18.5,19.5
"2022-12-13 17:00:00",76,"Marena B3",36.06222,-97.21667,329,33.67,34.8,36.43,19,19,19.67,20,18.5,19.5
"2022-12-13 18:00:00",77,"Marena B3",36.06222,-97.21667,329,33.6,34.7,36.4,18.83,19,20,20,18.5,19.17
"2022-12-13 19:00:00",78,"Marena B3",36.06222,-97.21667,329,22.37,23.13,24.27,19.33,19.5,20.17,20.33,18.83,19.5
"2022-12-13 20:00:00",79,"Marena B3",36.06222,-97.21667,329,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-14 13:00:00",80,"Marena B3",36.06222,-97.21667,329,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-14 15:00:00",81,"Marena B3",36.06222,-97.21667,329,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-14 16:00:00",82,"Marena B3",36.06222,-97.21667,329,19,13.33,14.53,8,8.5,10,10.5,9.5,11
"2022-12-14 17:00:00",83,"Marena B3",36.06222,-97.21667,329,19,13.47,14.6,7.667,8.5,10,10.5,9.5,11
"2022-12-14 18:00:00",84,"Marena B3",36.06222,-97.21667,329,19,13.6,14.63,7.5,8.5,10,10.5,9.5,10.5
"2022-12-14 19:00:00",85,"Marena B3",36.06222,-97.21667,329,19,13.67,14.7,7,8.5,10,10.5,9.5,10.5
"2022-12-14 20:00:00",86,"Marena B3",36.06222,-97.21667,329,19,13.77,14.73,6.833,8,10,10.5,9.5,10.5
"2022-12-14 21:00:00",87,"Marena B3",36.06222,-97.21667,329,18.9,13.8,14.8,6.5,8,10,10.5,9.17,10.5
"2022-12-14 22:00:00",88,"Marena B3",36.06222,-97.21667,329,18.9,13.9,14.8,6.333,7.833,10,10.5,9,10.5
"2022-12-14 23:00:00",89,"Marena B3",36.06222,-97.21667,329,18.9,13.9,14.9,6,7.5,9.5,10.5,9.17,10.5
"2022-12-15 00:00:00",90,"Marena B3",36.06222,-97.21667,329,18.9,14,14.9,6,7.5,9.5,10.5,9,10.5
"2022-12-15 01:00:00",91,"Marena B3",36.06222,-97.21667,329,18.9,14,14.97,5.5,7.167,9.5,10.17,9,10.5
"2022-12-15 02:00:00",92,"Marena B3",36.06222,-97.21667,329,18.9,14,15,5.5,7,9.33,10,9,10.5
"2022-12-15 03:00:00",93,"Marena B3",36.06222,-97.21667,329,18.9,14.1,15,5.167,7,9,10,9,10.5
"2022-12-15 04:00:00",94,"Marena B3",36.06222,-97.21667,329,18.9,14.1,15.1,5,6.5,9,10,9,10.5
"2022-12-15 05:00:00",95,"Marena B3",36.06222,-97.21667,329,18.8,14.1,15.1,5,6.5,9,10,9,10.5
"2022-12-15 06:00:00",96,"Marena B3",36.06222,-97.21667,329,18.8,14.1,15.1,4.667,6.5,8.67,10,9,10.5
"2022-12-15 07:00:00",97,"Marena B3",36.06222,-97.21667,329,18.8,14.2,15.2,4.5,6,8.5,10,9,10.5
"2022-12-15 08:00:00",98,"Marena B3",36.06222,-97.21667,329,18.8,14.2,15.2,4.5,6,8.5,9.67,9,10.17
"2022-12-15 09:00:00",99,"Marena B3",36.06222,-97.21667,329,18.8,14.2,15.23,4.167,6,8.5,9.5,8.5,10
"2022-12-15 10:00:00",100,"Marena B3",36.06222,-97.21667,329,18.8,14.2,15.3,4.167,5.833,8.33,9.5,8.5,10
"2022-12-15 11:00:00",101,"Marena B3",36.06222,-97.21667,329,18.8,14.2,15.3,4.333,5.5,8,9.5,8.5,10
"2022-12-15 12:00:00",102,"Marena B3",36.06222,-97.21667,329,18.83,14.2,15.3,4.667,5.5,8,9.5,8.5,10
"2022-12-15 13:00:00",103,"Marena B3",36.06222,-97.21667,329,18.9,14.3,15.4,5.167,5.667,8,9.5,8.5,10
"2022-12-15 14:00:00",104,"Marena B3",36.06222,-97.21667,329,18.93,14.3,15.4,5.667,6,8,9.5,8.5,10
"2022-12-15 15:00:00",105,"Marena B3",36.06222,-97.21667,329,19,14.33,15.43,5.833,6,8,9,8.5,10
"2022-12-15 16:00:00",106,"Marena B3",36.06222,-97.21667,329,19,14.4,15.5,6,6.333,8,9,8.5,10
"2022-12-15 17:00:00",107,"Marena B3",36.06222,-97.21667,329,19.1,14.4,15.5,6,6.5,8,9,8.33,10
"2022-12-15 18:00:00",108,"Marena B3",36.06222,-97.21667,329,19.1,14.4,15.57,5.667,6.5,8,9,8.33,10
"2022-12-15 19:00:00",109,"Marena B3",36.06222,-97.21667,329,19.1,14.5,15.6,5.5,6.5,8,9,8,10
"2022-12-15 20:00:00",110,"Marena B3",36.06222,-97.21667,329,19.1,14.5,15.6,5,6.167,8,9,8,9.67
"2022-12-15 21:00:00",111,"Marena B3",36.06222,-97.21667,329,19.07,14.5,15.63,5,6,8,9,8,9.5
"2022-12-15 22:00:00",112,"Marena B3",36.06222,-97.21667,329,19,14.5,15.67,4.667,6,8,9,8,9.5
"2022-12-15 23:00:00",113,"Marena B3",36.06222,-97.21667,329,19,14.5,15.7,4.5,6,8,9,8,9.5
"2022-12-16 00:00:00",114,"Marena B3",36.06222,-97.21667,329,19,14.57,15.7,4.5,5.667,8,9,8,9.5
"2022-12-16 01:00:00",115,"Marena B3",36.06222,-97.21667,329,19,14.6,15.73,4.5,5.5,8,9,8,9.5
"2022-12-16 02:00:00",116,"Marena B3",36.06222,-97.21667,329,19,14.6,15.8,4.167,5.5,7.833,9,8,9.5
"2022-12-16 03:00:00",117,"Marena B3",36.06222,-97.21667,329,19,14.6,15.8,4,5.5,7.5,9,8,9.5
"2022-12-16 04:00:00",118,"Marena B3",36.06222,-97.21667,329,19,14.6,15.8,4,5.333,7.5,8.83,8,9.5
"2022-12-16 05:00:00",119,"Marena B3",36.06222,-97.21667,329,19,14.6,15.83,4,5.167,7.5,8.67,8,9.5
"2022-12-16 06:00:00",120,"Marena B3",36.06222,-97.21667,329,18.9,14.6,15.9,4,5,7.5,8.5,8,9.5
"2022-12-16 07:00:00",121,"Marena B3",36.06222,-97.21667,329,18.9,14.6,15.9,4,5,7.5,8.5,8,9.5
"2022-12-16 08:00:00",122,"Marena B3",36.06222,-97.21667,329,18.9,14.63,15.9,3.5,5,7.5,8.5,8,9.5
"2022-12-16 09:00:00",123,"Marena B3",36.06222,-97.21667,329,18.9,14.7,15.93,3.5,5,7.167,8.5,8,9.5
"2022-12-16 10:00:00",124,"Marena B3",36.06222,-97.21667,329,18.93,14.7,16,3.833,5,7,8.5,7.833,9.5
"2022-12-16 11:00:00",125,"Marena B3",36.06222,-97.21667,329,19,14.7,16,4,5,7,8.5,7.5,9.33
"2022-12-16 12:00:00",126,"Marena B3",36.06222,-97.21667,329,19,14.7,16,4.167,5,7,8.5,7.5,9.33
"2022-12-16 13:00:00",127,"Marena B3",36.06222,-97.21667,329,19.03,14.73,16.1,4.667,5,7,8.5,7.5,9
"2022-12-16 14:00:00",128,"Marena B3",36.06222,-97.21667,329,19.1,14.8,16.1,5,5.167,7,8.5,7.5,9
"2022-12-16 15:00:00",129,"Marena B3",36.06222,-97.21667,329,19.1,14.8,16.1,5,5.5,7,8.5,7.5,9
