"TOA5","3","CR300","7201","CR300.Std.07.00","CPU:Site 3 (Field).CR300","44992","DrillDrop"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","BattV","DD_5_VWC_Avg","DD_15_VWC_Avg","DD_25_VWC_Avg","DD_35_VWC_Avg","DD_45_VWC_Avg","DD_55_VWC_Avg","DD_5_Temp_Avg","DD_15_Temp_Avg","DD_25_Temp_Avg","DD_35_Temp_Avg","DD_45_Temp_Avg","DD_55_Temp_Avg","DD_5_Sal_Avg","DD_15_Sal_Avg","DD_25_Sal_Avg","DD_35_Sal_Avg","DD_45_Sal_Avg","DD_55_Sal_Avg"
"TS","RN","name","decdegrees","decdegrees","m","Volts","%","%","%","%","%","%","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","VIC","VIC","VIC","VIC","VIC","VIC"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-03-31 16:00:00",0,"Site 3",30.55886,-96.41177,75,13.44,1.458,3.466,24.72,33.53,37.59,39.59,24.39,21.01,20,18.31,17.83,17.86,695.7,1430,1210,1405,1462,1623
"2023-03-31 17:00:00",1,"Site 3",30.55886,-96.41177,75,13.44,1.449,3.463,24.7,33.54,37.59,39.57,25.45,21.62,20.23,18.29,17.87,17.85,703.4,1439,1211,1405,1463,1623
"2023-03-31 18:00:00",2,"Site 3",30.55886,-96.41177,75,13.44,1.448,3.46,24.71,33.53,37.58,39.57,25.63,21.96,20.44,18.4,17.97,17.94,705.5,1445,1213,1404,1462,1623
"2023-04-01 13:00:00",3,"Site 3",30.55886,-96.41177,75,13.46,1.523,3.418,24.58,33.54,37.63,39.65,22.69,19.95,19.67,18.54,18.4,18.42,691.6,1406,1209,1409,1466,1629
"2023-04-01 14:00:00",4,"Site 3",30.55886,-96.41177,75,13.42,1.501,3.406,24.57,33.54,37.63,39.64,24.22,20.57,19.82,18.49,18.39,18.4,701.4,1416,1210,1406,1465,1627
"2023-04-01 15:00:00",5,"Site 3",30.55886,-96.41177,75,13.42,1.483,3.405,24.54,33.52,37.62,39.64,25.51,21.28,20.12,18.57,18.39,18.39,708.7,1428,1212,1405,1465,1628
"2023-04-01 17:00:00",6,"Site 3",30.55886,-96.41177,75,13.48,1.475,3.423,24.55,33.52,37.63,39.64,25.25,22.32,20.81,18.73,18.39,18.35,707.5,1447,1217,1412,1465,1628
"2023-04-02 15:00:00",7,"Site 3",30.55886,-96.41177,75,13.53,1.616,3.42,24.45,33.48,37.65,39.68,21.76,20.2,19.93,18.67,18.6,18.6,694.8,1416,1213,1418,1467,1630
"2023-04-02 16:00:00",8,"Site 3",30.55886,-96.41177,75,13.51,1.605,3.473,24.44,33.48,37.63,39.67,22.38,20.43,20.06,18.66,18.55,18.6,699.4,1432,1214,1418,1467,1629
"2023-04-03 13:00:00",9,"Site 3",30.55886,-96.41177,75,13.44,1.635,3.417,24.39,33.51,37.63,39.7,24.49,21.16,20.45,18.97,18.68,18.73,721.4,1446,1213,1380,1465,1628
"2023-04-03 14:00:00",10,"Site 3",30.55886,-96.41177,75,13.42,1.62,3.417,24.39,33.46,37.65,39.69,25.62,21.68,20.6,18.96,18.71,18.69,730.7,1454,1214,1379,1464,1627
"2023-04-03 15:00:00",11,"Site 3",30.55886,-96.41177,75,13.42,1.597,3.416,24.37,33.46,37.65,39.69,27.16,22.38,20.93,19.13,18.76,18.69,741.3,1465,1216,1380,1465,1627
"2023-04-03 16:00:00",12,"Site 3",30.55886,-96.41177,75,13.42,1.579,3.413,24.38,33.48,37.64,39.69,27.99,23.19,21.27,19.15,18.81,18.71,745.9,1477,1218,1379,1465,1628
"2023-04-03 17:00:00",13,"Site 3",30.55886,-96.41177,75,13.42,1.565,3.415,24.37,33.48,37.65,39.69,28.35,23.77,21.71,19.29,18.81,18.69,747.3,1486,1220,1383,1466,1628
"2023-04-03 18:00:00",14,"Site 3",30.55886,-96.41177,75,13.41,1.554,3.418,24.37,33.48,37.67,39.67,28.24,24.15,22.05,19.55,18.84,18.77,745,1492,1222,1386,1466,1629
"2023-04-03 19:00:00",15,"Site 3",30.55886,-96.41177,75,13.51,1.579,3.37,24.63,33.51,37.71,39.77,23.41,21.99,21.68,20.09,19.72,19.48,709.6,1446,1219,1399,1471,1636
"2023-04-04 13:00:00",16,"Site 3",30.55886,-96.41177,75,13.48,1.565,3.358,24.61,33.5,37.73,39.76,24.27,22.19,21.66,20.09,19.67,19.42,713.2,1449,1219,1398,1471,1636
