"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","14107","Table_GroPoint"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","GroPoint_VWC_0_15_Avg","GroPoint_VWC_15_30_Avg","GroPoint_VWC_30_45_Avg","GroPoint_Temp_3_Avg","GroPoint_Temp_10_Avg","GroPoint_Temp_20_Avg","GroPoint_Temp_30_Avg","GroPoint_Temp_40_Avg","GroPoint_Temp_45_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","%","%","Deg c","Deg c","Deg c","Deg c","Deg c","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-14 01:00:00",14,"Site 2",39.10245,-96.59987,335,33.7,32.53,38,12.5,13.5,15.33,15.5,17,17.5
"2022-10-14 02:00:00",15,"Site 2",39.10245,-96.59987,335,33.63,32.5,38,12.33,13.5,15,15.5,17,17.5
"2022-10-14 03:00:00",16,"Site 2",39.10245,-96.59987,335,33.53,32.4,37.9,12,13,15,15,17,17.5
"2022-10-14 04:00:00",17,"Site 2",39.10245,-96.59987,335,33.5,32.37,37.9,11.83,13,15,15,17,17.5
"2022-10-14 05:00:00",18,"Site 2",39.10245,-96.59987,335,33.43,32.3,37.9,11.5,12.83,14.67,15,17,17.5
"2022-10-14 06:00:00",19,"Site 2",39.10245,-96.59987,335,33.4,32.2,37.83,11.33,12.5,14.5,15,17,17.5
"2022-10-14 07:00:00",20,"Site 2",39.10245,-96.59987,335,33.3,32.17,37.8,11,12.5,14.5,15,17,17.5
"2022-10-14 08:00:00",21,"Site 2",39.10245,-96.59987,335,33.3,32.1,37.8,11,12.33,14.33,15,17,17.5
"2022-10-14 09:00:00",22,"Site 2",39.10245,-96.59987,335,33.3,32.03,37.8,11.17,12,14,15,17,17.5
"2022-10-14 10:00:00",23,"Site 2",39.10245,-96.59987,335,33.3,32,37.77,11.5,12,14,14.5,16.83,17.17
"2022-10-14 11:00:00",24,"Site 2",39.10245,-96.59987,335,33.3,32,37.7,12,11.67,14,14.5,16.5,17
"2022-10-14 12:00:00",25,"Site 2",39.10245,-96.59987,335,33.3,31.93,37.7,12.5,12.17,14,14.5,16.5,17
"2022-10-14 13:00:00",26,"Site 2",39.10245,-96.59987,335,33.3,31.9,37.7,13.17,12.5,14,14.5,16.5,17
"2022-10-14 14:00:00",27,"Site 2",39.10245,-96.59987,335,33.4,31.9,37.7,13.83,12.67,14,14.5,16.5,17
"2022-10-14 15:00:00",28,"Site 2",39.10245,-96.59987,335,33.57,31.97,37.7,14.67,13,14,14.5,16.5,17
"2022-10-14 16:00:00",29,"Site 2",39.10245,-96.59987,335,33.57,32,37.7,15,13.5,14,14.5,16.5,17
"2022-10-14 17:00:00",30,"Site 2",39.10245,-96.59987,335,33.6,32,37.7,15.5,13.67,14,14.5,16.5,17
"2022-10-14 18:00:00",31,"Site 2",39.10245,-96.59987,335,33.67,32.07,37.7,15.5,14,14.5,14.5,16.5,17
"2022-10-14 19:00:00",32,"Site 2",39.10245,-96.59987,335,33.7,32.1,37.7,15.5,14,14.5,14.5,16.5,17
"2022-10-14 20:00:00",33,"Site 2",39.10245,-96.59987,335,33.7,32.1,37.7,15.5,14.33,14.5,14.5,16.5,17
"2022-10-14 21:00:00",34,"Site 2",39.10245,-96.59987,335,33.7,32.13,37.7,15,14.33,14.5,14.5,16.33,16.83
"2022-10-14 22:00:00",35,"Site 2",39.10245,-96.59987,335,33.7,32.2,37.7,15,14.33,15,14.5,16.33,16.83
"2022-10-14 23:00:00",36,"Site 2",39.10245,-96.59987,335,33.6,32.2,37.7,14.5,14,15,14.5,16.33,16.67
"2022-10-15 00:00:00",37,"Site 2",39.10245,-96.59987,335,33.6,32.1,37.7,14,14,15,14.5,16.33,16.5
"2022-10-15 01:00:00",38,"Site 2",39.10245,-96.59987,335,33.53,32.1,37.7,14,14,15,14.5,16.33,16.67
