"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_1.CR300","13082","Table_Teros54"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Teros54_RAW_15_Avg","Teros54_Temp_15_Avg","Teros54_RAW_30_Avg","Teros54_Temp_30_Avg","Teros54_RAW_45_Avg","Teros54_Temp_45_Avg","Teros54_RAW_60_Avg","Teros54_Temp_60_Avg","Teros54_VWC_15_Avg","Teros54_VWC_30_Avg","Teros54_VWC_45_Avg","Teros54_VWC_60_Avg"
"TS","RN","name","decdegrees","decdegrees","m","mV","Deg C","mV","Deg C","mV","Deg C","mV","Deg C","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-09-26 11:00:00",0,"Site 1",39.10236,-96.60097,335,767.5,20.53,825,21.78,882,22.72,899,22.91,0.178,0.214,0.282,0.311
"2023-09-26 12:00:00",1,"Site 1",39.10236,-96.60097,335,766.6,20.57,825,21.74,882,22.63,899,22.85,0.177,0.214,0.282,0.311
"2023-09-26 13:00:00",2,"Site 1",39.10236,-96.60097,335,765.6,20.95,824,21.69,882,22.55,899,22.81,0.177,0.214,0.281,0.311
"2023-09-26 14:00:00",3,"Site 1",39.10236,-96.60097,335,764.6,21.54,824,21.66,882,22.5,900,22.79,0.176,0.214,0.281,0.311
"2023-09-26 15:00:00",4,"Site 1",39.10236,-96.60097,335,763.7,22.18,823,21.7,881,22.45,900,22.77,0.176,0.213,0.28,0.311
"2023-09-26 16:00:00",5,"Site 1",39.10236,-96.60097,335,763,22.69,823,21.75,881,22.41,899,22.75,0.175,0.213,0.28,0.311
"2023-09-26 17:00:00",6,"Site 1",39.10236,-96.60097,335,762.2,23.03,823,21.84,881,22.37,899,22.72,0.175,0.212,0.279,0.311
"2023-09-26 18:00:00",7,"Site 1",39.10236,-96.60097,335,761.3,23.24,822,21.97,881,22.37,899,22.69,0.175,0.212,0.279,0.31
"2023-09-26 19:00:00",8,"Site 1",39.10236,-96.60097,335,760.6,23.28,822,22.09,880,22.34,899,22.69,0.174,0.212,0.279,0.31
"2023-09-26 20:00:00",9,"Site 1",39.10236,-96.60097,335,759.6,23.22,822,22.22,880,22.34,899,22.66,0.174,0.212,0.278,0.31
"2023-09-26 21:00:00",10,"Site 1",39.10236,-96.60097,335,759,23.09,822,22.31,880,22.35,899,22.66,0.173,0.211,0.278,0.309
