"TOA5","CR300-23667","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_3.CR300","28349","Table_TE525MM"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","TE525MM_Rain_Tot"
"TS","RN","name","decdegrees","decdegrees","m","mm"
"","","Smp","Smp","Smp","Smp","Tot"
"2022-10-09 18:00:00",81,"Site 1",39.10236,-96.60097,335,0
"2022-10-09 19:00:00",82,"Site 1",39.10236,-96.60097,335,0
"2022-10-09 20:00:00",83,"Site 1",39.10236,-96.60097,335,0
"2022-10-09 21:00:00",84,"Site 1",39.10236,-96.60097,335,0
"2022-10-09 22:00:00",85,"Site 1",39.10236,-96.60097,335,0
"2022-10-09 23:00:00",86,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 00:00:00",87,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 01:00:00",88,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 02:00:00",89,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 03:00:00",90,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 04:00:00",91,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 05:00:00",92,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 06:00:00",93,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 07:00:00",94,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 08:00:00",95,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 09:00:00",96,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 10:00:00",97,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 11:00:00",98,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 12:00:00",99,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 13:00:00",100,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 14:00:00",101,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 15:00:00",102,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 16:00:00",103,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 17:00:00",104,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 18:00:00",105,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 19:00:00",106,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 20:00:00",107,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 21:00:00",108,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 22:00:00",109,"Site 1",39.10236,-96.60097,335,0
"2022-10-10 23:00:00",110,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 00:00:00",111,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 01:00:00",112,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 02:00:00",113,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 03:00:00",114,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 04:00:00",115,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 05:00:00",116,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 06:00:00",117,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 07:00:00",118,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 08:00:00",119,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 09:00:00",120,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 10:00:00",121,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 11:00:00",122,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 12:00:00",123,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 13:00:00",124,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 14:00:00",125,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 15:00:00",126,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 16:00:00",127,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 17:00:00",128,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 18:00:00",129,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 19:00:00",130,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 20:00:00",131,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 21:00:00",132,"Site 1",39.10236,-96.60097,335,0
"2022-10-11 22:00:00",133,"Site 1",39.10236,-96.60097,335,0
