"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_Hydraprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Hydraprobe_VWC_5_Avg","Hydraprobe_EC_5_cor_Avg","Hydraprobe_Temp_5_Deg_C_Avg","Hydraprobe_Temp_5_Deg_F_Avg","Hydraprobe_EC_5_uncor_Avg","Hydraprobe_Perm_real_5_Avg","Hydraprobe_Perm_imaginary_5_Avg","Hydraprobe_VWC_20_Avg","Hydraprobe_EC_20_cor_Avg","Hydraprobe_Temp_20_Deg_C_Avg","Hydraprobe_Temp_20_Deg_F_Avg","Hydraprobe_EC_20_uncor_Avg","Hydraprobe_Perm_real_20_Avg","Hydraprobe_Perm_imaginary_20_Avg","Hydraprobe_VWC_40_Avg","Hydraprobe_EC_40_cor_Avg","Hydraprobe_Temp_40_Deg_C_Avg","Hydraprobe_Temp_40_Deg_F_Avg","Hydraprobe_EC_40_uncor_Avg","Hydraprobe_Perm_real_40_Avg","Hydraprobe_Perm_imaginary_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 /m^3","s/m","Deg c","Deg F","s/m","unitless","unitless","m^3 /m^3","s/m","Deg c","Deg F","s/m","unitless","unitless","m^3 /m^3","s/m","Deg c","Deg F","s/m","unitless","unitless"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-07 19:00:00",0,"Testbed Site 2",39.12561,-96.6388,326,0,0,23,73.4,0,1.71,0.151,0,0.001,23.25,73.82,0.001,1.782,0.214,0,0.001,23,73.4,0.001,1.732,0.21
"2022-06-07 20:00:00",1,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,22.75,72.9,0.001,1.74,0.182,0,0.001,22.8,73,0.001,1.791,0.197,0,0.001,22.75,72.9,0.001,1.708,0.213
"2022-06-07 21:00:00",2,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,22.25,72.1,0.001,1.706,0.208,0,0.001,22.33,72.22,0,1.795,0.189,0,0,22.28,72.13,0,1.702,0.168
"2022-06-07 22:00:00",3,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,21.93,71.57,0.001,1.691,0.214,0,0,21.98,71.67,0,1.79,0.165,0,0,21.93,71.57,0,1.702,0.148
"2022-06-07 23:00:00",4,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,21.78,71.27,0.001,1.69,0.214,0,0.001,21.82,71.33,0,1.767,0.167,0,0,21.77,71.23,0,1.701,0.141
"2022-06-08 00:00:00",5,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,21.95,71.6,0.001,1.691,0.214,0,0.001,21.9,71.5,0,1.759,0.17,0,0,21.93,71.57,0,1.702,0.141
"2022-06-08 01:00:00",6,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,22.1,71.9,0.001,1.691,0.214,0,0,22.1,71.9,0,1.777,0.163,0,0,22.1,71.9,0,1.702,0.141
"2022-06-08 02:00:00",7,"Testbed Site 2",39.12561,-96.6388,326,0,0.001,22.1,71.9,0.001,1.691,0.214,0,0.001,22.1,71.9,0,1.768,0.167,0,0,22.1,71.9,0,1.702,0.141
