"TOA5","CR300-23667","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_3.CR300","28349","Table_Hydraprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Hydraprobe_VWC_5_Avg","Hydraprobe_EC_5_cor_Avg","Hydraprobe_Temp_5_Deg_C_Avg","Hydraprobe_Temp_5_Deg_F_Avg","Hydraprobe_EC_5_uncor_Avg","Hydraprobe_Perm_real_5_Avg","Hydraprobe_Perm_imaginary_5_Avg","Hydraprobe_VWC_20_Avg","Hydraprobe_EC_20_cor_Avg","Hydraprobe_Temp_20_Deg_C_Avg","Hydraprobe_Temp_20_Deg_F_Avg","Hydraprobe_EC_20_uncor_Avg","Hydraprobe_Perm_real_20_Avg","Hydraprobe_Perm_imaginary_20_Avg","Hydraprobe_VWC_40_Avg","Hydraprobe_EC_40_cor_Avg","Hydraprobe_Temp_40_Deg_C_Avg","Hydraprobe_Temp_40_Deg_F_Avg","Hydraprobe_EC_40_uncor_Avg","Hydraprobe_Perm_real_40_Avg","Hydraprobe_Perm_imaginary_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 /m^3","s/m","Deg c","Deg F","s/m","unitless","unitless","m^3 /m^3","s/m","Deg c","Deg F","s/m","unitless","unitless","m^3 /m^3","s/m","Deg c","Deg F","s/m","unitless","unitless"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-06 09:00:00",0,"Site 1",39.10236,-96.60097,335,0.163,0.019,17.3,63.2,0.017,9.83,6.144,0.283,0.044,19.9,67.8,0.041,17.98,14.65,0.286,0.039,21.1,70,0.037,18.22,13.25
"2022-10-06 10:00:00",1,"Site 1",39.10236,-96.60097,335,0.165,0.019,17.6,63.65,0.017,9.95,6.165,0.283,0.044,19.9,67.8,0.041,17.97,14.65,0.286,0.039,21,69.8,0.037,18.22,13.25
"2022-10-06 11:00:00",2,"Site 1",39.10236,-96.60097,335,0.167,0.019,18.43,65.23,0.017,10.06,6.253,0.284,0.043,19.7,67.5,0.04,18.06,14.48,0.286,0.039,20.9,69.6,0.037,18.22,13.25
"2022-10-06 12:00:00",3,"Site 1",39.10236,-96.60097,335,0.168,0.019,19.9,67.83,0.018,10.13,6.408,0.285,0.043,19.7,67.5,0.04,18.11,14.4,0.286,0.039,20.9,69.6,0.037,18.16,13.2
"2022-10-06 13:00:00",4,"Site 1",39.10236,-96.60097,335,0.17,0.019,21.63,71,0.018,10.24,6.594,0.285,0.043,19.7,67.5,0.04,18.11,14.4,0.283,0.039,20.9,69.6,0.037,17.95,13.33
"2022-10-06 14:00:00",5,"Site 1",39.10236,-96.60097,335,0.172,0.019,23.27,73.87,0.019,10.38,6.672,0.283,0.044,19.83,67.7,0.041,17.98,14.65,0.283,0.039,20.7,69.2,0.037,17.94,13.32
"2022-10-06 15:00:00",6,"Site 1",39.10236,-96.60097,335,0.171,0.019,24.6,76.23,0.019,10.29,6.875,0.283,0.044,20.23,68.4,0.041,17.99,14.66,0.283,0.039,20.7,69.2,0.037,17.94,13.32
"2022-10-06 16:00:00",7,"Site 1",39.10236,-96.60097,335,0.174,0.019,25.37,77.73,0.019,10.47,6.838,0.282,0.044,20.57,69,0.041,17.86,14.92,0.283,0.039,20.7,69.2,0.037,17.98,13.25
