"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_SoilVue"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","SoilVue_VWC_5_Avg","SoilVue_Perm_5_Avg","SoilVue_Temp_5_Avg","SoilVue_EC_5_Avg","SoilVue_VWC_10_Avg","SoilVue_Perm_10_Avg","SoilVue_Temp_10_Avg","SoilVue_EC_10_Avg","SoilVue_VWC_20_Avg","SoilVue_Perm_20_Avg","SoilVue_Temp_20_Avg","SoilVue_EC_20_Avg","SoilVue_VWC_30_Avg","SoilVue_Perm_30_Avg","SoilVue_Temp_30_Avg","SoilVue_EC_30_Avg","SoilVue_VWC_40_Avg","SoilVue_Perm_40_Avg","SoilVue_Temp_40_Avg","SoilVue_EC_40_Avg","SoilVue_VWC_50_Avg","SoilVue_Perm_50_Avg","SoilVue_Temp_50_Avg","SoilVue_EC_50_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m","m^3/m^3","unitless","Deg c","dS/m"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 11:04:00",19,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.152,21.97,0.002,0,1.105,21.94,0.005,0,1.348,22,0.011,0,1.428,22.88,0.005,0,1.164,22.55,0.008,0,1.324,22.11,0.007
"2022-06-01 11:06:00",20,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.201,22,0.003,0,1.308,21.97,0.006,0,1.322,22,0.009,0,1.444,22.91,0.004,0,1.17,22.55,0.008,0,1.348,22.14,0.008
"2022-06-01 11:08:00",21,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.248,22,0.005,0,1.27,21.97,0.006,0,1.365,22,0.01,0,1.401,22.94,0.003,0,1.22,22.58,0.009,0,1.338,22.14,0.01
"2022-06-01 11:10:00",22,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.21,22,0.001,0,1.205,21.97,0.007,0,1.309,22.02,0.009,0,1.344,22.94,0.003,0,1.248,22.58,0.009,0,1.298,22.14,0.008
"2022-06-01 11:12:00",23,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.276,22,0.004,0,1.347,21.97,0.005,0,1.349,22.02,0.01,0,1.448,22.97,0.002,0,1.128,22.61,0.01,0,1.318,22.14,0.008
"2022-06-01 11:14:00",24,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.297,22,0.001,0,1.24,21.97,0.006,0,1.35,22.05,0.011,0,1.438,22.97,0.002,0,1.1,22.61,0.01,0,1.36,22.14,0.008
"2022-06-01 11:16:00",25,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.208,22,0.007,0,1.312,22,0.006,0,1.378,22.05,0.01,0,1.455,23,0.006,0,1.217,22.64,0.012,0,1.331,22.17,0.011
"2022-06-01 11:18:00",26,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.245,22,0.003,0,1.161,22,0.004,0,1.339,22.05,0.01,0,1.412,23,0.002,0,1.175,22.64,0.007,0,1.397,22.17,0.01
"2022-06-01 11:20:00",27,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.185,22,0.003,0,1.158,22,0.005,0,1.32,22.05,0.011,0,1.391,23.03,0.005,0,1.243,22.67,0.01,0,1.341,22.2,0.009
"2022-06-01 11:22:00",28,"Ashland Bottoms S1",39.12561,-96.6388,326,0,1.258,22.02,0.005,0,1.257,22,0.005,0,1.41,22.08,0.01,0,1.442,23.03,0.005,0,1.182,22.67,0.009,0,1.24,22.2,0.009
