"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_CS229"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS229_StartTemp_5_Avg","CS229_Temp_1sec_5_Avg","CS229_Temp_30sec_5_Avg","CS229_Delta_Temp_5_Avg","CS229_Delta_Tempcorr_5_Avg","CS229_Matric_P_5_Avg"
"TS","RN","name","decdegrees","decdegrees","m","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-09 16:00:00",45,"Testbed Site 2",39.12561,-96.6388,326,102.3,102.4,101.9,-0.466,-1507,"-INF"
"2022-06-29 13:00:00",0,"Testbed Site 1",39.12561,-96.6388,326,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-29 14:00:00",1,"Testbed Site 1",39.12561,-96.6388,326,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-29 15:00:00",2,"Testbed Site 1",39.12561,-96.6388,326,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-29 16:00:00",3,"Testbed Site 1",39.12561,-96.6388,326,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-29 17:00:00",4,"Testbed Site 1",39.12561,-96.6388,326,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 13:00:00",0,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 14:00:00",1,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 15:00:00",2,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 16:00:00",3,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 17:00:00",4,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 18:00:00",5,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 19:00:00",6,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 20:00:00",7,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 21:00:00",8,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 22:00:00",9,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-01 23:00:00",10,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 00:00:00",11,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 01:00:00",12,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 02:00:00",13,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 03:00:00",14,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 04:00:00",15,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 05:00:00",16,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 06:00:00",17,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 07:00:00",18,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 08:00:00",19,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 09:00:00",20,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 10:00:00",21,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 11:00:00",22,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 12:00:00",23,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 13:00:00",24,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 14:00:00",25,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 15:00:00",26,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-02 16:00:00",27,"Testbed Site 3",39.10367,-96.60065,335,"NAN","NAN","NAN","NAN","NAN","NAN"
