"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","59139","Table_GroPoint"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","GroPoint_VWC_0_15_Avg","GroPoint_VWC_15_30_Avg","GroPoint_VWC_30_45_Avg","GroPoint_Temp_3_Avg","GroPoint_Temp_10_Avg","GroPoint_Temp_20_Avg","GroPoint_Temp_30_Avg","GroPoint_Temp_40_Avg","GroPoint_Temp_45_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","%","%","Deg c","Deg c","Deg c","Deg c","Deg c","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-30 10:00:00",0,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 11:00:00",1,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 12:00:00",2,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 13:00:00",3,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 14:00:00",4,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 15:00:00",5,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 16:00:00",6,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 17:00:00",7,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 18:00:00",8,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 19:00:00",9,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 20:00:00",10,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-30 21:00:00",11,"Testbed Site 2",39.10245,-96.59987,335,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
