"TOA5","CR300-10553","CR300","10553","CR300-CELL205.Std.10.04","CPU:Testbed_code_site_2.CR300","59139","Table_Thetaprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Thetaprobe_VWC_5_Avg","Thetaprobe_VWC_20_Avg","Thetaprobe_VWC_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 / m^3","m^3 / m^3","m^3 / m^3"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2022-06-30 10:00:00",0,"Testbed Site 2",39.10245,-96.59987,335,0.266,0.365,0.413
"2022-06-30 11:00:00",1,"Testbed Site 2",39.10245,-96.59987,335,0.266,0.364,0.413
"2022-06-30 12:00:00",2,"Testbed Site 2",39.10245,-96.59987,335,0.267,0.364,0.413
"2022-06-30 13:00:00",3,"Testbed Site 2",39.10245,-96.59987,335,0.268,0.364,0.413
"2022-06-30 14:00:00",4,"Testbed Site 2",39.10245,-96.59987,335,0.27,0.364,0.413
"2022-06-30 15:00:00",5,"Testbed Site 2",39.10245,-96.59987,335,0.271,0.364,0.413
"2022-06-30 16:00:00",6,"Testbed Site 2",39.10245,-96.59987,335,0.272,0.364,0.413
"2022-06-30 17:00:00",7,"Testbed Site 2",39.10245,-96.59987,335,0.273,0.364,0.413
"2022-06-30 18:00:00",8,"Testbed Site 2",39.10245,-96.59987,335,0.274,0.364,0.413
"2022-06-30 19:00:00",9,"Testbed Site 2",39.10245,-96.59987,335,0.274,0.364,0.413
"2022-06-30 20:00:00",10,"Testbed Site 2",39.10245,-96.59987,335,0.274,0.365,0.413
"2022-06-30 21:00:00",11,"Testbed Site 2",39.10245,-96.59987,335,0.273,0.365,0.413
"2022-06-30 22:00:00",12,"Testbed Site 2",39.10245,-96.59987,335,0.272,0.365,0.413
"2022-06-30 23:00:00",13,"Testbed Site 2",39.10245,-96.59987,335,0.271,0.365,0.413
"2022-07-01 00:00:00",14,"Testbed Site 2",39.10245,-96.59987,335,0.27,0.365,0.413
"2022-07-01 01:00:00",15,"Testbed Site 2",39.10245,-96.59987,335,0.27,0.365,0.413
"2022-07-01 02:00:00",16,"Testbed Site 2",39.10245,-96.59987,335,0.269,0.365,0.413
"2022-07-01 03:00:00",17,"Testbed Site 2",39.10245,-96.59987,335,0.269,0.365,0.413
