"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_Thetaprobe"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Thetaprobe_VWC_5_Avg","Thetaprobe_VWC_20_Avg","Thetaprobe_VWC_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","m^3 / m^3","m^3 / m^3","m^3 / m^3"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2022-06-07 19:00:00",0,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-07 20:00:00",1,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-07 21:00:00",2,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-07 22:00:00",3,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-07 23:00:00",4,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 00:00:00",5,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 01:00:00",6,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 02:00:00",7,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 03:00:00",8,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 04:00:00",9,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 05:00:00",10,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 06:00:00",11,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 07:00:00",12,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 08:00:00",13,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 09:00:00",14,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 10:00:00",15,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
"2022-06-08 11:00:00",16,"Testbed Site 2",39.12561,-96.6388,326,-0.07,-0.071,-0.07
